id;cid;inchi_key;smiles;synonyms_ids;mixture
103;82229;LHXDLQBQYFFVNW-OIBJUYFYSA-N;C[C@@]12CC[C@@H](C1)C(C2=O)(C)C;"[1573, 339, 142, 6998, 3170, 1050, 1248, 3598, 5242, 7044]";mono
104;92979;HNDHDMOSWUAEAW-VMXHOPILSA-N;C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C;"[793, 6016, 3157, 1966, 648, 6035, 4716, 2658, 2994, 5042, 4716]";mono
105;1549026;HIGQPQRQIQDZMP-DHZHZOJOSA-N;CC(=CCC/C(=C/COC(=O)C)/C)C;"[4205, 2828, 3403, 303, 7083, 776, 7097, 626, 2916, 475, 5645, 1117, 3834, 4603, 6605]";mono
106;460;LHGVFZTZFXWLCP-UHFFFAOYSA-N;COC1=CC=CC=C1O;"[2495, 4070, 635, 5482, 4859, 565, 5170, 6986, 701, 2515]";mono
107;8159;ZCZSIDMEHXZRLG-UHFFFAOYSA-N;CCCCCCCOC(=O)C;"[5605, 5637, 4506, 2944, 2810, 3828, 1425, 1985, 1610, 3673]";mono
108;17525;XAPCMTMQBXLDBB-UHFFFAOYSA-N;CCCCCCOC(=O)CCC;"[5532, 6350, 5681, 6814, 6387, 1544, 6390, 5835, 797, 1153]";mono
109;247573;KGEKLUUHTZCSIP-JFGNBEQYSA-N;CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C;"[6199, 1491, 338, 1242, 5820, 5057, 4359, 3272, 1100, 6798]";mono
110;6561;AMIMRNSIRUDHCM-UHFFFAOYSA-N;CC(C)C=O;"[7286, 2229, 4114, 3178, 1201, 4285, 1512, 5195, 3464, 3772]";mono
111;6590;KQNPFQTWMSNSAP-UHFFFAOYSA-N;CC(C)C(=O)O;"[3656, 5311, 5988, 6537, 5514, 828, 5296, 691, 2822, 1307]";mono
112;853433;BJIOGJUNALELMI-ONEGZZNKSA-N;C/C=C/C1=CC(=C(C=C1)O)OC;"[1437, 4055, 2526, 1976, 4676, 327, 1095, 4657, 998, 1485]";mono
113;878;LSDPWZHWYPCBBB-UHFFFAOYSA-N;CS;"[625, 5541, 3581, 6038, 799, 6345, 525, 5644, 3088, 5430, 625]";mono
114;4133;OSWPMRLSEDHDFF-UHFFFAOYSA-N;COC(=O)C1=CC=CC=C1O;"[1434, 6831, 3080, 5272, 4898, 188, 5141, 260, 3619, 4500]";mono
115;8164;YLYBTZIQSIBWLI-UHFFFAOYSA-N;CCCCCCCCOC(=O)C;"[5817, 4170, 5703, 1068, 6232, 3766, 6134, 5900, 6544, 2188]";mono
116;998;DTUQWGWMVIHBKE-UHFFFAOYSA-N;C1=CC=C(C=C1)CC=O;"[1466, 2448, 1266, 3695, 807, 6762, 5747, 3912, 1977, 4852, 2448]";mono
117;9261;KYQCOXFCLRTKLS-UHFFFAOYSA-N;C1=CN=CC=N1;"[875, 2986, 3293, 128, 4003, 3514, 6993, 1122, 6642, 6726]";mono
118;17100;WUOACPNHFRMFPN-UHFFFAOYSA-N;CC1=CCC(CC1)C(C)(C)O;"[1641, 557, 2618, 4895, 6266, 4590, 5246, 1766, 2703, 6905, 4895]";"sum of isomers"
119;111037;IGODOXYLBBXFDW-UHFFFAOYSA-N;CC1=CCC(CC1)C(C)(C)OC(=O)C;"[6895, 1364, 2003, 1968, 892, 1039, 2160, 6248, 3680, 4120]";"sum of isomers"
120;7150;QPJVMBTYPHYUOC-UHFFFAOYSA-N;COC(=O)C1=CC=CC=C1;"[5116, 4283, 1044, 3481, 3090, 866, 1385, 2660, 2684, 5025]";mono
121;8461;RMBFBMJGBANMMK-UHFFFAOYSA-N;CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-];"[954, 1536, 6094, 3027, 2836, 6400, 1391, 5841, 4611, 3269]";mono
122;91497;ONKNPOPIGWHAQC-UHFFFAOYSA-N;CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C;"[3577, 4623, 6126, 1408, 4208, 5193, 3562, 6872, 5052, 5838]";"sum of isomers"
123;263626;CIEKNJJOENYFQL-UHFFFAOYSA-N;CC1C(SC(=N1)C)C;"[3686, 3743, 6165, 5244, 6606, 7302, 7228, 6219, 3703, 5959, 5244]";"sum of isomers"
124;26808;IAEGWXHKWJGQAZ-UHFFFAOYSA-N;CC1=CN=C(C(=N1)C)C;"[1271, 4196, 4024, 2385, 1269, 7177, 5004, 4941, 5312, 6919]";mono
125;33166;NTOPKICPEQUPPH-UHFFFAOYSA-N;CC(C)C1=NC=CN=C1OC;"[4531, 1565, 916, 4715, 7117, 6053, 1205, 562, 6118, 2396, 4715]";mono
126;32594;UXFSPRAGHGMRSQ-UHFFFAOYSA-N;CC(C)CC1=NC=CN=C1OC;"[3576, 826, 5634, 5893, 5743, 1167, 2197, 5806, 6056, 2853]";mono
127;7991;NQPDZGIKBAWPEJ-UHFFFAOYSA-N;CCCCC(=O)O;"[203, 2095, 488, 5373, 2567, 5072, 6756, 2382, 829, 1863]";mono
128;5283335;BSAIUMLZVGUGKX-BQYQJAHWSA-N;CCCCCC/C=C/C=O;"[6408, 6736, 197, 463, 4537, 3867, 4683, 6301, 6389, 4922, 3189, 4673]";mono
129;15394;JLIDVCMBCGBIEY-UHFFFAOYSA-N;CCC(=O)C=C;"[5861, 2554, 402, 2781, 6195, 6190, 7194, 75, 895, 7159]";mono
130;19309;INAXVXBDKKUCGI-UHFFFAOYSA-N;CC1C(=O)C(=C(O1)C)O;"[2711, 777, 2533, 2052, 4028, 5875, 2139, 1370, 5288, 5098]";"sum of isomers"
131;61346;KLTVSWGXIAYTHO-UHFFFAOYSA-N;CCCCCC(=O)C=C;"[585, 809, 1788, 5281, 6959, 3732, 3294, 6969, 3935, 2877]";mono
132;18635;CLUWOWRTHNNBBU-UHFFFAOYSA-N;CSCCC=O;"[6104, 7134, 5051, 2201, 6677, 5929, 4900, 4829, 5908, 1007, 5929]";mono
133;1146;GETQZCLCWQTVFV-UHFFFAOYSA-N;CN(C)C;"[6372, 1372, 154, 638, 4050, 5985, 5124, 5217, 3725, 1509, 1372]";mono
134;6669;WXCMHFPAUCOJIG-UHFFFAOYSA-N;CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C;"[5396, 2737, 4740, 6617, 30, 5800, 1448, 1399, 1080, 1177]";mono
135;61325;SIMKGHMLPVDSJE-UHFFFAOYSA-N;CC1C(=O)C(=C(O1)C)OC;"[937, 2204, 990, 1739, 2492, 4234, 145, 1674, 4154, 1226, 145]";"sum of isomers"
136;61918;PPJSYGVFDJEMRP-UHFFFAOYSA-N;CCC1=NC=CN=C1C(=O)C;"[2089, 2103, 5117, 3328, 655, 4791, 3152, 7172, 2335, 350, 5117]";mono
137;26331;KVFIJIWMDBAGDP-UHFFFAOYSA-N;CCC1=NC=CN=C1;"[96, 248, 6927, 4654, 4098, 2641, 5363, 4423, 474, 4613]";mono
138;1268142;WTOYNNBCKUYIKC-JMSVASOKSA-N;C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C;"[3453, 3765, 7225, 2332, 1998, 1247, 891, 3718, 5890, 2148]";mono
139;64805;BOPPSUHPZARXTH-UHFFFAOYSA-N;CC(CC1=CC2=C(C=C1)OCO2)C=O;"[7076, 4215, 865, 5732, 1781, 5813, 6271, 2314, 6497, 2995]";"sum of isomers"
140;7438;BAVONGHXFVOKBV-UHFFFAOYSA-N;CC1=CCC(CC1O)C(=C)C;"[6610, 4382, 3150, 2834, 4177, 4899, 7203, 4836, 1616, 1352]";"sum of isomers"
141;8130;FXHGMKSSBGDXIY-UHFFFAOYSA-N;CCCCCCC=O;"[3288, 2750, 1052, 893, 1872, 42, 6855, 7103, 6936, 4389]";mono
